Codigo_Producto,Grupo,Segmento,Margen_Venta,Rotacion_Stock,GMROI,Demanda_Trimestral,Stock_Actual,Reposicion_Sugerida_UNI,Peso_Total_Gramos
3444,COMESTIVEIS,A,41.48,3.60770299781616,2.340920788064061,114.9,22,93,37200.0
4659,LOJA DE BRINQUEDOS,C,41.27,2.6666666666666665,1.7552238805970148,0.6,0,1,300.0
9248,ROUPA,A,52.45,3.0,3.215558452846588,0.6,0,1,550.0
6696,ROUPA,A,48.28,3.0,2.5429645542427495,0.6,0,1,436.0
7687,ROUPA,B,57.07,1.0,0.6177931704247492,0.6,0,1,106.0
237,ROUPA,A,52.89,3.0,2.9058840966355417,0.6,0,1,500.0
9247,ROUPA,A,52.45,4.0,3.196001738374619,0.6,0,1,550.0
2775,COMESTIVEIS,C,40.5,2.0363636363636366,1.3199155925630206,4.5,0,5,1140.0
6110,PERFUMARIA,C,33.05,2.730275229357798,1.0552356849098385,46.2,24,23,4209.0
4985,BEBIDAS,C,42.15,2.2222222222222223,1.729086845466156,38.4,0,39,11700.0
948,LOJA DE BRINQUEDOS,C,37.16,2.5,1.38232044198895,2.1,0,3,720.0
12257,COMESTIVEIS,B,50.2,1.5966735966735965,1.395517867958813,5.4,4,2,488.0
2378,PERFUMARIA,C,38.96,2.528735632183908,1.2537356321839077,6.0,4,2,440.0
172,ROUPA,A,52.7,3.0,2.842265159800705,0.6,0,1,500.0
2846,PERFUMARIA,C,43.39,1.25,0.8054577464788732,2.1,1,2,284.0
2277,COMESTIVEIS,C,28.8,3.451171875,1.1328887939453125,78.6,0,79,15800.0
1080,LOJA DE BRINQUEDOS,C,39.29,2.204081632653061,1.355832324072233,4.5,0,5,1200.0
9083,ROUPA,A,49.05,4.0,3.556865464632455,0.6,0,1,630.0
5726,PERFUMARIA,A,49.42,2.3157894736842106,1.8065948002536463,4.5,0,5,1600.0
5218,PERFUMARIA,B,50.83,1.826086956521739,1.5211818133891655,2.4,2,1,270.0
367,COMESTIVEIS,B,47.43,2.0743301642178045,1.688100475868666,12.0,0,12,3600.0
5723,PERFUMARIA,B,48.39,2.1818181818181817,1.73157102944337,4.5,0,5,1540.0
1907,PERFUMARIA,A,62.02,2.27027027027027,2.8094942861298002,12.0,0,12,6000.0
9520,ROUPA,A,48.21,2.5,0.9735746982937994,2.1,0,3,522.0
1880,PERFUMARIA,C,29.57,2.0826446280991737,0.6707697256690337,4.5,0,5,600.0
3946,PERFUMARIA,B,53.15,1.894736842105263,1.676561908368042,4.5,1,4,1200.0
9086,ROUPA,A,49.05,4.0,3.501386962552011,0.6,0,1,630.0
9082,ROUPA,A,49.05,4.0,3.5,0.6,0,1,630.0
